Arcane Consequence,3,14,0.0667
Arcane Ice,2,14,0.0667
Arcane Momentum,3,14,0.0667
Arcane Nullifier,4,14,0.0667
Arcane Tempo,3,14,0.0667
Arcane Warmth,2,14,0.0667
Arcane Acceleration,6,21,0.0269
Arcane Agility,4,21,0.0269
Arcane Awakening,3,21,0.0269
Arcane Deflection,3,21,0.0269
Arcane Eruption,4,21,0.0269
Arcane Guardian,6,21,0.0269
Arcane Healing,4,21,0.0269
Arcane Phantasm,3,21,0.0269
Arcane Resistance,4,21,0.0269
Arcane Strike,6,21,0.0269
Arcane Trickery,4,21,0.0269
Arcane Velocity,11,21,0.0269
Arcane Victory,3,21,0.0269
Arcane Aegis,15,28,0.025
Arcane Arachne,4,28,0.025
Arcane Avenger,9,28,0.025
Arcane Fury,11,28,0.025
Arcane Precision,10,28,0.025
Arcane Pulse,3,28,0.025
Arcane Rage,5,28,0.025
Arcane Ultimatum,4,28,0.025
Arcane Barrier,6,98,0.0167
Arcane Energize,20,98,0.0167
Arcane Grace,10,98,0.0167